S.No,Mar20_Total,Mar20_Operative,Mar21_Total,Mar21_Operative,Mar22_Total,Mar22_Operative,Mar23_Total,Mar23_Operative,Mar24_Total,Mar24_Operative,Jan25_Total,Jan25_Operative,Mar20_Op_Rate,Mar21_Op_Rate,Mar22_Op_Rate,Mar23_Op_Rate,Mar24_Op_Rate,Jan25_Op_Rate,CAGR_2020_25,Growth_2024_25,Growth_Mar20_Mar21,Growth_Mar21_Mar22,Growth_Mar22_Mar23,Growth_Mar23_Mar24,Growth_Mar24_Jan25,State_Name_Std,Rural_Beneficiaries,Urban_Beneficiaries,Total_Beneficiaries,Balance_Rupees,RuPay_Cards,Rural_Percent,RuPay_Penetration,Avg_Balance_Rs,Rural_Urban_Ratio,Population,Households,Literacy_Rate,Rural_HH_Percent,Internet_Penetration,Phone_Penetration,Account_Density_Per_Lakh,Operative_Mean,Operative_Std,Operative_Trend,Growth_Operative_Interaction,Account_Density_Squared,Region_Central,Region_East,Region_North,Region_Northeast,Region_South,Region_West,Rural_Dominated_Flag
-1.0,-0.29975471826667577,-0.30081596813226824,-0.30921902332957313,-0.30043408727438886,-0.3163670943302103,-0.3070461798041301,-0.3239276187729796,-0.31811415327215514,-0.33979716469732524,-0.3260561885216899,-0.3448042482299042,-0.3252523888307391,0.1570521667126692,0.6373759380295327,0.652183908045977,0.4059869036482695,0.6325536062378168,0.6343333333333332,-0.6379174850602425,-0.5151702925363296,-1.9765805049037042,-1.135930937642296,-0.8575758217008166,3.967557502184821,-0.5151702925363296,ANDAMAN AND NICOBAR ISLANDS,-0.3543442160782427,-0.5015185962121056,-0.42025879920066206,-0.38146579198396374,-0.4449684903159489,0.7322710132587278,0.47425301970756517,1.5806585764025614,0.24075275794938353,-0.4363972045320518,-0.40983255387412065,0.7957371225577261,0.702916230974788,0.1111111111111111,0.66206589492431,-1.6925103157829535,-0.8565853658536586,1.729222520107239,1.9700456621004567,-0.0032678968889887834,2.864591169031713,True,False,False,False,False,False,0
-0.42857142857142855,0.7407849015466376,0.7094425288587154,0.7378815374303137,0.7125885309572767,0.7302913620278423,0.7188864028170048,0.6924662965900079,0.6947558838493282,0.6671332702046193,0.668282499469252,0.6472823823406914,0.6400040517270487,0.5409881313828322,0.691115952553861,0.718390804597701,0.5746803866541939,0.5649772579597141,0.5006666666666666,-0.75156824122406,-0.03809941070204357,-0.4536842832585273,-0.0076770398107336825,-0.7205254857641665,-0.8016925078680762,-0.03809941070204357,GUJARAT,0.5027301480936366,0.5456252660661252,0.5679483332308718,0.6727681499835642,0.6451942915511231,0.6112395085755992,0.970438652256834,0.3732685050412997,-0.2848799480856587,0.6051297993194354,0.6157236557110793,0.5195381882770866,0.5813872429417916,0.10403397027600852,0.5017809439002671,-0.174904777388113,-0.261463414634147,-0.08310991957104548,-0.11652968036529687,-0.00019075104958156476,0.030591681153185363,False,False,False,False,False,True,0
-0.7714285714285715,2.688253730326361,2.971794487396398,2.852289633299001,2.941283984464245,2.8618953341543643,2.9912702197116974,2.8264724965755894,3.141381974410673,2.8618167345986523,3.078939919326304,2.8903061224489797,3.0311307694904954,0.814242340601711,0.8114258048898573,0.8310344827586202,0.8169628936700968,0.7563352826510721,0.6659999999999999,0.3053837910994429,0.528422261476171,0.4703201658295575,0.09149225092085903,-0.25369777897995294,-0.25259438198322454,0.528422261476171,BIHAR,3.117706769290552,1.8797886503786907,2.8732846195338313,2.0665077311342204,3.0091080370042205,0.7670599683736773,0.8525111252383981,-1.1250436883109987,0.46138870863075915,1.3622642001545562,0.9632707247161595,0.0,0.9930289299407458,0.0,0.4341050756901158,2.717128844709725,0.9873170731707321,-0.23860589812332433,-0.514703196347032,0.0035192922614312983,7.382789158753605,False,True,False,False,False,False,1
0.2571428571428571,-0.2705253117122028,-0.2722035422868524,-0.2735134958392597,-0.2634224354580763,-0.2806366626654403,-0.2731540916260133,-0.2880542138274097,-0.2761310746386779,-0.30060246750929775,-0.2848701436557922,-0.30497709287796754,-0.2846000607759057,0.5183549544576316,0.8191721132897603,0.6563218390804595,0.94792641097599,0.7170240415854454,0.6240000000000001,2.025298567711881,0.5646285337582374,2.8385093464553153,-0.07758326114611862,-0.02456674858586634,1.5943720414476403,0.5646285337582374,MEGHALAYA,-0.29970816555715596,-0.49212032458100285,-0.3791399069438095,-0.3392116035637898,-0.40902942888972943,0.9774966549081622,0.469802924348379,0.28835170085783957,4.418559377027904,-0.391546230592775,-0.37562491711443985,0.2877442273534634,0.8567445102823282,0.029016277423920753,0.14870881567230632,-0.4528851290150262,0.45853658536585534,0.6246648793565684,0.6228310502283105,0.003523282050651402,0.20510494008295693,False,False,False,True,False,False,1
0.5428571428571428,0.1704367377529468,0.16469278050243077,0.16724704497523174,0.16723783413296778,0.1630317863656913,0.16230788981403368,0.16076706798356283,0.18628577889163164,0.15518684726968313,0.16789328426862926,0.14395043731778426,0.14798933045210522,0.5810102125310515,0.7199225369160009,0.7158620689655171,0.678827564702214,0.5912930474333982,0.4893333333333336,-0.039356835930803566,0.008755765192395173,-0.3356170480972721,0.09962088130869445,0.19814004731118956,-0.1236395190860245,0.008755765192395173,PUNJAB,0.04169299816688888,0.05402094445752978,0.06371113784334204,0.05589998100002385,0.059869787682954576,0.570976766816689,0.8382072472981563,-0.3724367680825366,-0.40622972096041543,0.038119481459625806,0.044806781489112074,0.5029603315571345,0.6564424305797606,0.21302193913658882,0.6950133570792519,0.044190452965449024,-0.05463414634146364,-0.11528150134048251,-0.2553424657534247,4.2844877674787074e-05,0.0019527961332915624,False,False,True,False,False,False,0
0.14285714285714285,1.538086802480071,1.4384597262973036,1.6475223568263933,1.6262280100525475,1.6382059956038475,1.6141657191064813,1.5422392040948742,1.5683355631347868,1.5277148777910439,1.5885995329417593,1.5435235318617242,1.6412533342337172,0.48771736130278764,0.7267005567659166,0.7239080459770113,0.6089803554724043,0.6598440545808966,0.6763333333333335,-0.1340657994006515,0.5433307265334926,0.5866762816406496,-0.019057122353703233,-1.0974139095899538,-0.5895409592307472,0.5433307265334926,MAHARASHTRA,1.1360811559701476,1.7022719766225074,1.444228439459521,1.4277793326172925,1.4627759783107044,0.5544337671816081,0.7962492053401147,-0.07402901346263596,-0.4516547696301103,1.5057646927801895,1.5624193186370723,0.6551213735938424,0.5716277448588357,0.24062278839348908,0.5262689225289404,-0.13378970511956986,0.03317073170731741,-0.1367292225201072,0.74337899543379,0.003674726813788189,0.01789968519598146,False,False,False,False,False,True,0
0.02857142857142857,-0.3026844723036043,-0.3031289486646821,-0.3119002076282963,-0.3029472241261138,-0.3187366517530048,-0.3092469647507611,-0.32611924158315914,-0.3200738660988524,-0.3425967859250415,-0.32881607812610575,-0.34751145356101626,-0.32795354019650874,0.25089704664642554,0.6974098281287824,0.8147126436781609,0.6919239164328035,0.9999999999999998,1.0,1.6994997333756043,-0.864454331022146,-1.2784438100371511,4.628893733410615,3.564438923755153,-1.6648581224219152,-0.864454331022146,LAKSHADWEEP,-0.35696929841878644,-0.5037996962974979,-0.42293226635072245,-0.3839196706410318,-0.44719060010103795,0.8641284515265785,0.9821996185632549,11.342649082213658,1.4192083062946141,-0.4418790542073406,-0.416938081921901,0.9197750148016581,0.254560241663762,0.058740268931351744,0.48508459483526256,-1.7530482848317335,0.5873170731707327,2.72117962466488,3.3567123287671237,-0.008644543310221459,3.0731782889514827,False,False,False,False,True,False,1
0.6,1.5297744770729713,1.6163878954018804,1.6025307763990386,1.6786231056279035,1.6373330007638704,1.7280196603455233,1.595068848677096,1.783903974071492,1.5877694978522514,1.7200835043521336,1.5555497709287798,1.6760306580680016,0.7101849296163398,0.8317598644396029,0.8383908045977011,0.810414717804802,0.751137102014295,0.7063333333333333,-0.04314519446959774,-0.023190945644722075,0.2358968148572099,0.3743685884175332,-0.4614146943839379,-0.5084241906341215,-0.023190945644722075,RAJASTHAN,1.4241249781298906,1.2682944598483095,1.4765788375896418,1.6495075880238605,1.5986557190734458,0.6697482058143779,0.9148124602670054,0.3894254378785405,-0.06748864373783264,0.7457492114989751,0.6479926166416933,0.15985790408525768,0.8201463924712442,0.038216560509554146,0.5289403383793411,1.9686336329361849,0.9307317073170752,-0.2975871313672921,-0.06904109589041098,-0.0001638053794038869,3.8755183807275215,False,False,True,False,False,False,0
0.6571428571428571,-0.29675683041493495,-0.29807465787162957,-0.3066032337698432,-0.29830172873353134,-0.31387282335884764,-0.30521219234860436,-0.3216206473938433,-0.316305187585973,-0.3382052232148984,-0.32513622532021796,-0.3431382757184506,-0.32417192828443125,0.2804305823902842,0.5165819414185426,0.46045977011494243,0.2525724976613657,0.27810266406757633,0.30500000000000016,-2.444964508064941,0.08116830975652801,-2.3821157908923634,-0.9766097820407209,-1.2901409445008678,-1.192716930846683,0.08116830975652801,SIKKIM,-0.3526913451472449,-0.5000542887892395,-0.4185647741113858,-0.380262297355975,-0.4427407545616524,0.7216883590804039,0.8080101716465351,0.5893873903368096,0.1804023361453602,-0.4324086832104853,-0.40821908517764505,0.6640023682652458,0.7584524224468454,0.12880396319886767,0.666073018699911,-1.7657843091715621,-1.9804878048780472,-0.09383378016085782,0.17278538812785385,0.00024756334475741057,3.117994226516491,False,True,False,False,False,False,0
-0.8857142857142857,-0.28006404578592353,-0.28051313901441327,-0.28907744371965277,-0.2836036859340492,-0.2957270020421844,-0.2857719253200308,-0.3031648763607526,-0.2961050707569391,-0.31833340195150067,-0.30305710848489137,-0.32408371511870054,-0.3037107066887261,0.5992271598123105,0.44638102154442016,0.7972413793103446,0.6888057374493299,0.756985055230669,0.6666666666666665,-0.0317801188532159,-0.48748314314416114,-0.41775077690510176,0.2182988849710923,-0.028849571583886558,0.5772925582745626,-0.48748314314416114,ARUNACHAL PRADESH,-0.3318852774178303,-0.487242603257093,-0.3993845871403201,-0.358274098832112,-0.42431511320023746,0.7782508210679967,0.6897647806738716,0.7075117350121447,0.5418559377027904,-0.41900094890306644,-0.3960097757429257,0.1456483126110124,0.8013245033112582,0.04600141542816703,0.1829919857524488,0.01275150769135526,0.06439024390243869,0.3780160857908848,1.190502283105023,-0.0032498876209610733,0.00016260094840269234,False,False,False,True,False,False,1
