S.No,State/UT,Mar20_Total,Mar20_Operative,Mar21_Total,Mar21_Operative,Mar22_Total,Mar22_Operative,Mar23_Total,Mar23_Operative,Mar24_Total,Mar24_Operative,Jan25_Total,Jan25_Operative,Mar20_Op_Rate,Mar21_Op_Rate,Mar22_Op_Rate,Mar23_Op_Rate,Mar24_Op_Rate,Jan25_Op_Rate,CAGR_2020_25,Growth_2024_25,Growth_Mar20_Mar21,Growth_Mar21_Mar22,Growth_Mar22_Mar23,Growth_Mar23_Mar24,Growth_Mar24_Jan25,State_Name_Std,Rural_Beneficiaries,Urban_Beneficiaries,Total_Beneficiaries,Balance_Rupees,RuPay_Cards,Rural_Percent,RuPay_Penetration,Avg_Balance_Rs,Rural_Urban_Ratio,Population,Households,Literacy_Rate,Rural_HH_Percent,Internet_Penetration,Phone_Penetration,Account_Density_Per_Lakh,High_Operative_Flag,High_Growth_Flag,High_RuPay_Flag,High_Balance_Flag,Rural_Dominated_Flag,Operative_Mean,Operative_Std,Operative_Trend
13,Himachal Pradesh,1307000,1123000,1506000,1342000,1603000,1419000,1727000,1480000,1876000,1617000,1974000,1642000,85.92,89.11,88.52,85.7,86.19,83.18,8.91,5.22,15.23,6.44,7.74,8.63,5.22,HIMACHAL PRADESH,1837137.0,169153.0,2006290.0,14804400000.0,1321731.0,91.57,65.88,7378.99,10.861,6864602.0,2933663.0,73.42,89.06,1.4,41.42,29226.6,1,0,0,1,1,86.44,2.14,-0.722
14,Jammu & Kashmir,2145000,1235000,2467000,1492000,2570000,1572000,2638000,1978000,2736000,1966000,2397000,1737000,57.58,60.48,61.17,74.98,71.86,72.47,2.33,-12.39,15.01,4.18,2.65,3.71,-12.39,JAMMU & KASHMIR,,,,,,,,,,,,,,,,,0,0,0,0,0,66.42,7.49,3.497
15,Jharkhand,13397000,10659000,15471000,12981000,16222000,13664000,17408000,13542000,18363000,14244000,19431000,14976000,79.56,83.91,84.23,77.79,77.57,77.07,8.0,5.82,15.48,4.85,7.31,5.49,5.82,JHARKHAND,16444540.0,3360500.0,19805040.0,103872900000.00002,13511458.0,83.03,68.22,5244.77,4.893,32988134.0,7796033.0,55.56,73.71,1.17,38.08,60036.86,1,0,0,1,1,80.02,3.25,-1.083
16,Karnataka,14876000,11717000,15244000,13121000,16019000,13142000,17772000,12747000,19213000,14747000,20167000,15437000,78.76,86.07,82.04,71.73,76.76,76.55,6.5,4.97,2.47,5.08,10.94,8.11,4.97,KARNATAKA,12088049.0,8634832.0,20722881.0,109462800000.0,12915989.0,58.33,62.33,5282.22,1.4,61095297.0,17999066.0,66.53,59.01,3.55,52.41,33918.95,1,0,0,1,0,78.65,4.95,-1.408
17,Kerala,4309000,3347000,4735000,4002000,4905000,4146000,5531000,4035000,6204000,4635000,6723000,4887000,77.67,84.52,84.53,72.95,74.71,72.69,9.65,8.37,9.89,3.59,12.76,12.17,8.37,KERALA,4251596.0,2790868.0,7042464.0,33762100000.0,3814517.0,60.37,54.16,4794.07,1.523,33406061.0,11217853.0,84.22,52.22,4.31,61.68,21081.4,0,0,0,1,0,77.84,5.47,-1.883
18,Ladakh,19000,11000,21000,12000,21000,12000,21000,15000,22000,14000,19000,12000,57.89,57.14,57.14,71.43,63.64,63.16,0.0,-13.64,10.53,0.0,0.0,4.76,-13.64,LADAKH,14445.0,4823.0,19268.0,247200000.0,14349.0,74.97,74.47,12829.56,2.995,,,,,,,,0,0,1,1,1,61.73,5.6,1.718
19,Lakshadweep,6000,4000,6000,5000,8000,7000,10000,8000,10000,9000,10000,9000,66.67,83.33,87.5,80.0,90.0,90.0,11.16,0.0,0.0,33.33,25.0,0.0,0.0,LAKSHADWEEP,8192.0,1997.0,10189.0,183200000.0,7788.0,80.4,76.44,17980.17,4.102,64473.0,21242.0,81.51,24.9,1.54,47.18,15803.51,1,0,1,1,1,82.92,8.88,3.69
20,Madhya Pradesh,32623000,25826000,35397000,29724000,37234000,30635000,40420000,31492000,42988000,35065000,44750000,35058000,79.17,83.97,82.28,77.91,81.57,78.34,6.76,4.1,8.5,5.19,8.56,6.35,4.1,MADHYA PRADESH,27802333.0,17859751.0,45662084.0,163311700000.0,34026565.0,60.89,74.52,3576.53,1.557,72626809.0,18498763.0,59.0,72.73,1.15,37.23,62872.22,1,0,1,0,0,80.54,2.43,-0.449
21,Maharashtra,27023000,20334000,29969000,25337000,31391000,26226000,32405000,25062000,34081000,27104000,36333000,29170000,75.25,84.54,83.55,77.34,79.53,80.29,6.32,6.61,10.9,4.74,3.23,5.17,6.61,MAHARASHTRA,20087811.0,16474759.0,36562570.0,185644199999.99997,25809113.0,54.94,70.59,5077.44,1.219,112374333.0,33569762.0,72.57,52.19,4.11,49.03,32536.41,1,0,1,1,0,80.08,3.55,0.113
22,Manipur,965000,840000,1022000,875000,1021000,896000,1062000,901000,1089000,819000,1115000,742000,87.05,85.62,87.76,84.84,75.21,66.55,3.04,2.39,5.91,-0.1,4.02,2.54,2.39,MANIPUR,673791.0,410745.0,1084536.0,3032200000.0000005,698038.0,62.13,64.36,2795.85,1.64,2855794.0,609964.0,66.83,65.22,1.78,47.82,37976.69,0,0,0,0,0,81.17,8.49,-3.904
